ID;label
14186;0
13013;0
7102;0
7637;1
12350;0
4243;1
5202;0
17817;0
2422;0
2147;1
13232;1
8683;1
1826;0
2753;0
6654;0
12789;1
2462;0
3256;1
12065;1
1238;0
11455;1
13590;0
8909;0
6358;1
7937;1
12431;1
5489;1
3195;0
13808;0
13798;0
18049;1
4752;1
7075;1
8899;1
8536;1
1445;0
1053;0
8383;1
869;1
5295;1
16829;1
16059;0
5417;1
6968;0
3679;0
10710;1
13890;1
7654;1
11398;0
15513;1
13034;0
3018;0
16327;1
6056;1
3308;0
14891;0
3791;1
9400;0
2381;0
15;0
11480;0
81;0
14756;0
2641;0
16456;0
2926;0
12888;0
5563;0
3490;0
14347;1
9726;1
17921;0
17122;1
14259;1
14505;0
11037;1
2832;1
8707;1
7410;0
1159;0
13940;0
16955;0
17814;0
653;0
3251;0
8858;1
14193;0
7267;1
18048;1
5926;0
12877;0
329;1
7812;0
15739;0
18209;0
13521;1
11433;0
5626;0
3986;0
11909;1
1863;1
9188;1
10363;1
16527;1
11768;0
12884;1
3065;1
17887;1
11449;1
274;0
9032;1
3458;1
11828;0
6859;1
15037;0
15436;0
14635;0
14582;0
12850;0
17561;0
12721;0
7564;0
568;1
523;1
3763;1
409;1
5696;0
3472;1
13934;0
5991;0
12592;0
9121;0
5560;1
17250;1
12507;0
4430;0
14624;1
10028;0
2250;1
14187;0
6967;1
8780;1
8387;1
16357;0
11681;1
1822;0
2587;0
3323;0
7525;0
17631;0
5204;1
10118;0
16981;0
12264;0
12119;0
13051;0
16240;1
13770;0
6234;0
190;1
12737;0
3345;1
2860;0
17207;1
13660;0
16363;0
11511;0
6239;1
14995;0
9383;1
7057;0
2073;1
7783;1
14633;0
8850;0
6364;0
2076;0
7090;0
9493;1
15854;1
1068;0
14689;1
5144;1
10071;1
7924;0
10122;1
2023;0
15384;0
9439;0
10677;0
1057;0
8144;1
1785;1
9245;0
7229;0
8080;1
2682;0
68;0
7299;0
2576;0
14229;1
14106;0
7548;1
6510;1
9173;0
6283;1
17881;0
1408;0
4351;0
3485;1
18278;1
12064;1
13444;0
11937;1
14036;1
10983;1
9599;0
2071;0
1650;0
54;0
9027;1
2754;1
11829;0
8959;1
5024;0
5406;0
5103;0
4052;0
14497;1
9931;0
13518;1
4802;0
8567;0
10300;0
14935;0
7721;0
15485;0
15155;1
17468;0
2275;1
14826;0
4785;1
1040;0
1815;1
15178;1
3829;1
17366;0
14170;1
11258;1
1031;0
6525;0
14728;0
4492;0
11187;0
14012;1
14178;1
6331;1
14821;1
8435;0
1719;0
5680;1
14839;0
9452;1
11159;1
11344;0
15610;1
17676;0
17005;0
2951;0
7055;0
8861;1
12408;0
590;1
6280;0
12247;0
10253;0
17816;0
14324;0
12154;0
12957;1
428;0
12402;0
2377;1
5714;0
342;1
5473;0
14513;0
4872;0
5243;0
2984;0
11901;1
6975;0
15523;0
16073;1
16118;0
14868;1
5068;1
17300;0
11418;0
2195;0
14336;1
5847;1
13537;0
4327;1
14047;1
6650;0
